timestamp,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed
2024-11-27T14:31:13.343909,12.0,2027.0,8188.0,37.0,11.66,50.0
2024-11-27T14:31:14.639282,26.0,2027.0,8188.0,36.0,9.25,50.0
2024-11-27T14:31:15.964978,42.0,2027.0,8188.0,36.0,7.83,50.0
2024-11-27T14:31:17.277459,21.0,2027.0,8188.0,36.0,7.82,50.0
2024-11-27T14:31:18.577770,20.0,2027.0,8188.0,36.0,7.82,50.0
2024-11-27T14:31:19.874089,25.0,2027.0,8188.0,36.0,10.52,50.0
2024-11-27T14:31:21.183078,24.0,2027.0,8188.0,36.0,10.48,50.0
2024-11-27T14:31:22.465872,16.0,2027.0,8188.0,36.0,11.51,50.0
2024-11-27T14:31:23.759021,31.0,2027.0,8188.0,36.0,9.52,50.0
2024-11-27T14:31:25.061860,22.0,2027.0,8188.0,36.0,7.77,50.0
2024-11-27T14:31:26.374880,13.0,2027.0,8188.0,36.0,11.47,50.0
2024-11-27T14:31:27.672342,21.0,2027.0,8188.0,36.0,9.62,50.0
2024-11-27T14:31:28.959204,17.0,2027.0,8188.0,36.0,9.84,50.0
2024-11-27T14:31:30.255837,16.0,2026.0,8188.0,36.0,11.19,50.0
2024-11-27T14:31:30.628757,26.0,2008.0,8188.0,36.0,8.74,50.0
2024-11-27T14:31:31.938782,30.0,2005.0,8188.0,36.0,12.36,50.0
2024-11-27T14:31:33.236178,5.0,2008.0,8188.0,37.0,26.99,50.0
2024-11-27T14:31:34.554935,5.0,2009.0,8188.0,37.0,26.96,50.0
2024-11-27T14:31:35.865201,24.0,2006.0,8188.0,36.0,18.06,50.0
2024-11-27T14:31:37.184761,17.0,2005.0,8188.0,36.0,12.14,50.0
2024-11-27T14:31:38.493804,13.0,2002.0,8188.0,36.0,11.91,50.0
2024-11-27T14:31:39.797676,51.0,1993.0,8188.0,36.0,10.48,50.0
2024-11-27T14:31:41.101136,25.0,1993.0,8188.0,36.0,11.78,50.0
2024-11-27T14:31:42.398641,21.0,1994.0,8188.0,36.0,8.95,50.0
2024-11-27T14:31:43.716213,34.0,1992.0,8188.0,36.0,10.94,50.0
2024-11-27T14:31:45.028129,57.0,1992.0,8188.0,36.0,10.47,50.0
2024-11-27T14:31:46.344948,16.0,1992.0,8188.0,36.0,11.62,50.0
2024-11-27T14:31:47.660974,33.0,1992.0,8188.0,36.0,9.01,50.0
2024-11-27T14:31:49.000336,32.0,1992.0,8188.0,36.0,10.95,50.0
2024-11-27T14:31:50.326967,29.0,1991.0,8188.0,36.0,10.17,50.0
2024-11-27T14:31:51.632329,12.0,2034.0,8188.0,36.0,9.58,50.0
2024-11-27T14:31:52.925949,24.0,2034.0,8188.0,36.0,12.03,50.0
2024-11-27T14:31:54.243021,11.0,2018.0,8188.0,37.0,26.29,50.0
2024-11-27T14:31:55.537035,6.0,2012.0,8188.0,37.0,26.8,50.0
2024-11-27T14:31:56.836736,5.0,1981.0,8188.0,36.0,26.6,50.0
2024-11-27T14:31:58.132819,13.0,1981.0,8188.0,36.0,12.24,50.0
2024-11-27T14:31:59.428758,19.0,1999.0,8188.0,36.0,12.06,50.0
2024-11-27T14:32:00.753672,16.0,2006.0,8188.0,36.0,12.08,50.0
2024-11-27T14:32:01.173852,12.0,2014.0,8188.0,37.0,17.69,50.0
2024-11-27T14:32:02.488408,7.0,2025.0,8188.0,37.0,27.34,50.0
2024-11-27T14:32:03.801710,6.0,2020.0,8188.0,37.0,27.3,50.0
2024-11-27T14:32:05.122124,22.0,2033.0,8188.0,36.0,15.92,50.0
2024-11-27T14:32:06.437790,23.0,2032.0,8188.0,36.0,13.1,50.0
2024-11-27T14:32:07.761993,24.0,2017.0,8188.0,36.0,12.85,50.0
2024-11-27T14:32:09.090060,22.0,2018.0,8188.0,36.0,12.65,50.0
2024-11-27T14:32:10.396400,23.0,2016.0,8188.0,36.0,12.47,50.0
2024-11-27T14:32:11.722363,24.0,2010.0,8188.0,36.0,12.51,50.0
2024-11-27T14:32:13.058650,26.0,2009.0,8188.0,36.0,12.57,50.0
2024-11-27T14:32:14.385954,27.0,2007.0,8188.0,35.0,12.49,50.0
2024-11-27T14:32:15.719571,41.0,2018.0,8188.0,35.0,12.59,50.0
2024-11-27T14:32:17.076123,26.0,2012.0,8188.0,35.0,12.37,50.0
